nom,ville,region,adresse,site_web,type,note,marques,source,statut
LUXURY BOUTIQUE PALERMO,Palermo,Sicile,"Centro storico, Palermo",,Multi-brand,,,Estimation basée sur patterns,À vérifier
FASHION HOUSE BARI,Bari,Pouilles,"Centro storico, Bari",,Multi-brand,,,Estimation basée sur patterns,À vérifier
STYLE CATANIA,Catania,Sicile,"Centro storico, Catania",,Multi-brand,,,Estimation basée sur patterns,À vérifier
CONCEPT STORE PADOVA,Padova,Vénétie,"Centro storico, Padova",,Multi-brand,,,Estimation basée sur patterns,À vérifier
FASHION DISTRICT BERGAMO,Bergamo,Lombardie,"Centro storico, Bergamo",,Multi-brand,,,Estimation basée sur patterns,À vérifier
LUXURY OUTLET PARMA,Parma,Émilie-Romagne,"Centro storico, Parma",,Multi-brand,,,Estimation basée sur patterns,À vérifier
MODE HOUSE MODENA,Modena,Émilie-Romagne,"Centro storico, Modena",,Multi-brand,,,Estimation basée sur patterns,À vérifier
FASHION STORE RIMINI,Rimini,Émilie-Romagne,"Centro storico, Rimini",,Multi-brand,,,Estimation basée sur patterns,À vérifier
BOUTIQUE LUXURY FERRARA,Ferrara,Émilie-Romagne,"Centro storico, Ferrara",,Multi-brand,,,Estimation basée sur patterns,À vérifier
STYLE CENTER TRENTO,Trento,Trentin-Haut-Adige,"Centro storico, Trento",,Multi-brand,,,Estimation basée sur patterns,À vérifier
FASHION GALLERY UDINE,Udine,Frioul-Vénétie julienne,"Centro storico, Udine",,Multi-brand,,,Estimation basée sur patterns,À vérifier
LUXURY STORE ANCONA,Ancona,Marches,"Centro storico, Ancona",,Multi-brand,,,Estimation basée sur patterns,À vérifier
MODE BOUTIQUE PERUGIA,Perugia,Ombrie,"Centro storico, Perugia",,Multi-brand,,,Estimation basée sur patterns,À vérifier
FASHION HUB LIVORNO,Livorno,Toscane,"Centro storico, Livorno",,Multi-brand,,,Estimation basée sur patterns,À vérifier
STYLE HOUSE PISA,Pisa,Toscane,"Centro storico, Pisa",,Multi-brand,,,Estimation basée sur patterns,À vérifier
BOUTIQUE SIENA,Siena,Toscane,"Centro storico, Siena",,Multi-brand,,,Estimation basée sur patterns,À vérifier
FASHION CORNER LUCCA,Lucca,Toscane,"Centro storico, Lucca",,Multi-brand,,,Estimation basée sur patterns,À vérifier
LUXURY POINT FORTE DEI MARMI,Forte dei Marmi,Toscane,"Centro storico, Forte dei Marmi",,Multi-brand,,,Estimation basée sur patterns,À vérifier
